tablescraper-selected-row	tablescraper-selected-row 2	tablescraper-selected-row href	hidden-desktop	hidden-phone	hidden-phone 2	utc	utc 2	hidden-phone 3	utc 3	utc 4	hidden-phone 4
19	1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCF	https://bitinfocharts.com/bitcoin/address/1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCF	6,999 BTC ($624,319,153) 48 0	6,999 BTC ($624,319,153)	0.035075%	2010-11-09 00:32:00	2025-10-27 08:20:47	48			
101	142fFLWkLgteEB48wC6tcChK5dXkptbjn6	https://bitinfocharts.com/bitcoin/address/142fFLWkLgteEB48wC6tcChK5dXkptbjn6	2,068 BTC ($184,482,076) 31 1	2,068 BTC ($184,482,076)	0.010365%	2013-09-29 20:48:32	2025-10-28 10:56:53	31	2016-05-19 23:58:06	2016-05-19 23:58:06	1
102	1CkdZXJtpbxxX4QAzbRhiFNU3PkcsUsFzw	https://bitinfocharts.com/bitcoin/address/1CkdZXJtpbxxX4QAzbRhiFNU3PkcsUsFzw	2,066 BTC ($184,307,509) 31 0	2,066 BTC ($184,307,509)	0.010355%	2011-03-08 01:40:21	2025-10-28 10:56:53	31			
103	1CU33fX35WYJDNxXM5jqawQtVGr32QEGrV	https://bitinfocharts.com/bitcoin/address/1CU33fX35WYJDNxXM5jqawQtVGr32QEGrV	2,050 BTC ($182,872,265) 33 0	2,050 BTC ($182,872,265)	0.010274%	2011-08-08 19:20:12	2025-10-28 10:56:53	33			
104	1BMB272EM8F9RXaFszJ7nxxN8VNjoa3mYu	https://bitinfocharts.com/bitcoin/address/1BMB272EM8F9RXaFszJ7nxxN8VNjoa3mYu	2,012 BTC ($179,454,168) 31 0	2,012 BTC ($179,454,168)	0.010082%	2011-08-08 19:20:12	2025-10-28 20:37:57	31			
105	1MTq53R9mvrJomvHoq8i4uyLv26mWHhNPc	https://bitinfocharts.com/bitcoin/address/1MTq53R9mvrJomvHoq8i4uyLv26mWHhNPc	2,001 BTC ($178,520,593) 29 0	2,001 BTC ($178,520,593)	0.01003%	2017-11-25 01:46:37	2025-10-28 20:50:52	29			
106	13dSnmhFeX3qqbsi4thXXad4ggTh6VCESG	https://bitinfocharts.com/bitcoin/address/13dSnmhFeX3qqbsi4thXXad4ggTh6VCESG	2,000 BTC ($178,402,772) 34 0	2,000 BTC ($178,402,772)	0.010023%	2013-01-05 04:45:53	2025-10-28 20:50:52	34			
107	16w8WZ8Ub1Whk6SP4cw4op5cgyRVsb77T8	https://bitinfocharts.com/bitcoin/address/16w8WZ8Ub1Whk6SP4cw4op5cgyRVsb77T8	2,000 BTC ($178,402,489) 32 0	2,000 BTC ($178,402,489)	0.010023%	2013-07-29 10:37:02	2025-10-28 20:50:52	32			
108	16y2tVCgnwGM6c3kPPuQDJrSadQqcddUm6	https://bitinfocharts.com/bitcoin/address/16y2tVCgnwGM6c3kPPuQDJrSadQqcddUm6	2,000 BTC ($178,402,486) 32 0	2,000 BTC ($178,402,486)	0.010023%	2013-01-05 04:35:02	2025-10-28 20:50:52	32			
109	18KHS8ndbKJ1iEtTxv44Ree3Fs7oCURg83	https://bitinfocharts.com/bitcoin/address/18KHS8ndbKJ1iEtTxv44Ree3Fs7oCURg83	2,000 BTC ($178,402,484) 32 0	2,000 BTC ($178,402,484)	0.010023%	2013-11-27 22:21:42	2025-10-28 20:50:52	32			
110	1KF8CrJXpAf8EB63a91EHaH1TobnDsRgaK	https://bitinfocharts.com/bitcoin/address/1KF8CrJXpAf8EB63a91EHaH1TobnDsRgaK	2,000 BTC ($178,402,426) 31 0	2,000 BTC ($178,402,426)	0.010023%	2013-01-05 05:11:41	2025-10-28 20:50:52	31			
